name	region	elevation	gps	area	population	density	zip	suj	ecv	tel
Súľov-Hradná	Žilinský kraj	400	49.1650°N 18.5884°E	22,95	922	40,17	013 52	517992	BY	+421-41	
Sušany	Banskobystrický kraj	219	48.4119°N 19.8904°E	12,94	443	34,23	980 12 	515591	PT	+421-47	
Sútor	Banskobystrický kraj	205	48.3517°N 20.1220°E	13,26	548	41,33	980 01 	515604	RS	+421-47	
Svätá Mária	Košický kraj	99	48.4325°N 21.8441°E	12,94	572	44,2	076 35 	528153	TV	+421-56	
Svätoplukovo	Nitriansky kraj	140	48.228889°N 18.053889°E	13,9	1 341	96,47	951 13	555991	NR	+421-53	
Svätuš	Košický kraj	105	48.6836°N 22.1430°E	3,85	112	29,09	072 55 	523143	SO	+421-56	
Svätuše	Košický kraj	98	48.4292°N 21.9194°E	10,16	824	81,1	076 83	528650	TV	+421-56	
Svätý Anton	Banskobystrický kraj	449	48.423889°N 18.939444°E	22,63	1 221	53,95	969 72	516597	BS	+421-45	
Svätý Jur	Bratislavský kraj	180	48.251944°N 17.215556°E	39,87	5 442	136,49	900 21	507989	PK	+421-2	
Svätý Kríž	Žilinský kraj	629	49.052139°N 19.534706°E	9,41	804	85,44	032 11	511048	---	+421-44	
Svätý Peter	Nitriansky kraj	138	47.8466°N 18.2636°E	34,33	2 750	80,1	946 57	501115	KN	+421-35	
Svederník	Žilinský kraj	328 – 350	49.2630°N 18.6445°E	11,56	1 026	88,75	013 32 	518000	ZA	+421-41	
Sverepec	Trenčiansky kraj	310	49.083333°N 18.416667°E	6,23	1 210	194,22	017 01 	518913	PB	+421-42	
Svetlice	Prešovský kraj	336	49.1706°N 22.0405°E	31,64	117	3,7	067 16 	520861	ML	+421-57	
Svidnička	Prešovský kraj	317	49.3843°N 21.5691°E	5,72	142	24,83	090 02 	527858	SK	+421-54	
Svidník	Prešovský kraj	230	49.305556°N 21.567778°E	20,2	11 444	566,53	089 01	527106	SK	+421-54	
Svinia	Prešovský kraj	361	49.010087°N 21.124791°E	14,73	1 965	133,4	082 32	525171	PO	+421-51	
Svinica	Košický kraj	252	48.7317°N 21.4598°E	27,11	840	30,98	044 45 	522040	KS	+421-55	
Svinice	Košický kraj	100	48.4572°N 21.8814°E	5,26	232	44,11	076 37 	543811	TV	+421-56	
Svinná	Trenčiansky kraj	248	48.783333°N 18.150000°E	8,6	1 589	184,77	913 24	506532	TN	+421-32	
Svit	Prešovský kraj	763	49.065833°N 20.194722°E	4,5	7 679	1 706,44	059 21	523925	PP	+421-52	
Svodín	Nitriansky kraj	193	47.9109°N 18.4989°E	53,48	2 533	47,36	943 54	503568	NZ	+421-36	
Svrbice	Nitriansky kraj	284	48.516667°N 17.883333°E	6,94	199	28,67	956 06 	556238	TO	+421-38	
Svrčinovec	Žilinský kraj	440	49.481111°N 18.793889°E	15,74	3 583	227,64	023 12	509493	CA	+421-41	
Šahy	Nitriansky kraj	136	48.065278°N 18.951389°E	42,73	7 544	176,55	936 01	502782	LV	+421-36	
Šajdíkove Humence	Trnavský kraj	195	48.650000°N 17.266667°E	15,52	1 115	71,84	906 07	504882	SE	+421-34	
Šalgovce	Nitriansky kraj	255	48.5257°N 17.8976°E	8,99	503	55,95	956 06	505536	TO	+421-38	
Šalgočka	Trnavský kraj	151	48.333333°N 17.816667°E	4,75	453	95,37	925 54 	504033	GA	+421-31	
Šalov	Nitriansky kraj	157	48.0042°N 18.7073°E	19,04	383	20,12	935 71	502791	LV	+421-36	
Šaľa	Nitriansky kraj	107	48.152778°N 17.873889°E	44,97	23 098	513,63	927 XX (XX; 01-Šaľa, 05 Veča)	504025	SA	+421-31	
Šambron	Prešovský kraj	672 m	49.2256°N 20.7496°E	17,16	403	23,48	065 45 	527033	SL	+421-52	
Šamorín	Trnavský kraj	126	48.026667°N 17.311667°E	44,35	12 992	292,94	931 01	501905	DS	+421-31	
Šamudovce	Košický kraj	108	48.7073°N 21.8852°E	4,84	620	128,1	072 01 	523151	MI	+421-56	
Šandal	Prešovský kraj	260 m	49.1850°N 21.6229°E	10,89	322	29,57	091 01 	527866	SP	+421-54	
Šarbov	Prešovský kraj	440	49.4273°N 21.6304°E	8,44	12	1,42	090 05 	527874	SK	+421-54	
Šarišská Poruba	Prešovský kraj	344	49.0383°N 21.3876°E	5,99	572	95,49	082 12 	525189	PO	+421-51	
Šarišská Trstená	Prešovský kraj	400	49.0871°N 21.3850°E	1,85	324	175,14	082 14 	525197	PO	+421-51	
Šarišské Bohdanovce	Prešovský kraj	225 m	48.8480°N 21.3171°E	9,36	752	80,34	082 05	525201	PO	+421-51	
Šarišské Čierne	Prešovský kraj	394	49.345833°N 21.381944°E	14,02	305	21,75	086 37	519847	BJ	+421-54	
Šarišské Dravce	Prešovský kraj	467	49.175000°N 20.863056°E	9,93	1 253	126,18	082 73	525219	SB	+421-51	
Šarišské Jastrabie	Prešovský kraj	572	49.2416°N 20.9093°E	21,39	1 326	61,99	065 48	527041	SL	+421-52	
Šarišské Michaľany	Prešovský kraj	313	49.050000°N 21.133333°E	9,33	2 860	306,54	082 22	525235	SB	+421-51	
Šarišské Sokolovce	Prešovský kraj	415	49.105278°N 21.164167°E	12,27	552	44,99	082 66 	525243	SB	+421-51	
Šarišský Štiavnik	Prešovský kraj	229	49.2159°N 21.5688°E	5,27	289	54,84	090 42 	527882	SK	+421-54	
Šarkan	Nitriansky kraj	131	47.866667°N 18.566667°E	13,64	378	27,71	943 42 	503576	NZ	+421-36	
Šarovce	Nitriansky kraj	146	48.100000°N 18.650000°E	25,38	1 635	64,42	935 52	502804	LV	+421-36	
Šašová	Prešovský kraj	255	49.2567°N 21.4489°E	5,28	149	28,22	086 12 	519855	BJ	+421-54	
Šaštín-Stráže	Trnavský kraj	256	48.635000°N 17.140000°E	41,95	5 136	122,43	908 41	504891	SE	+421-34	
Šávoľ	Banskobystrický kraj	198	48.302222°N 19.820000°E	10,86	546	50,28	985 41	511854	LC	+421-47	
Šelpice	Trnavský kraj	164	48.433333°N 17.533333°E	10,17	858	84,37	919 09 	556670	TT	+421-33	
Šemetkovce	Prešovský kraj	356	49.3116°N 21.6630°E	7,08	90	12,71	090 03 	527891	SK	+421-54	
Šemša	Košický kraj	297	48.6748°N 21.1139°E	17,17	786	45,78	044 21	522066	KS	+421-55	
Šenkvice	Bratislavský kraj	165	48.283333°N 17.333333°E	24,81	4 592	185,09	900 81	508250	PK	+421-33	
Šiatorská Bukovinka	Banskobystrický kraj	cca 240 - 320	48.186111°N 19.822222°E	21,6	315	14,58	985 58 	511862	LC	+421-47	
Šiba	Prešovský kraj	400	49.2308°N 21.2204°E	13,82	583	42,19	086 22 	519863	BJ	+421-54	
Šíd	Banskobystrický kraj	216	48.2748°N 19.8801°E	15,24	1 264	82,94	986 01 	511871	LC	+421-47	
Šimonovce	Banskobystrický kraj	179	48.2720°N 20.1104°E	7,83	583	74,46	980 03	515621	RS	+421-47	
Šindliar	Prešovský kraj	493	49.0385°N 20.9423°E	11,32	546	48,23	082 36 	525251	PO	+421-51	
Šintava	Trnavský kraj	135	48.281667°N 17.753611°E	11,56	1 742	150,69	925 51	504041	GA	+421-31	
Šípkov	Trenčiansky kraj	270	48.8523°N 18.2956°E	11,56	139	12,02	956 53 	505544	BN	+421-38	
Šípkové	Trnavský kraj	216	48.653333°N 17.717222°E	8,3	315	37,95	922 03 	558397	PN	+421-33	
Širákov	Banskobystrický kraj	196	48.1491°N 19.1845°E	7,12	208	29,21	991 27 	516431	VK	+421-47	
Širkovce	Banskobystrický kraj	183	48.291667°N 20.084444°E	17,71	941	53,13	980 02 	515639	RS	+421-47	
Široké	Prešovský kraj	514	49.000000°N 20.933333°E	25,79	2 443	94,73	082 37	525260	PO	+421-51	
Šišov	Trenčiansky kraj	270	48.8523°N 18.2956°E	11,56	139	12,02	956 38	505544	BN	+421-38	
Šivetice	Banskobystrický kraj	330	48.578611°N 20.273889°E	8,26	381	46,13	049 14 	526304	RA	+421-58	
Šmigovec	Prešovský kraj	326	48.891389°N 22.317222°E	7,13	90	12,62	067 73 	520870	SV	+421-57	
Šoltýska	Banskobystrický kraj	743	48.5804°N 19.7445°E	4,39	125	28,47	985 07	511889	PT	+421-47	
Šoporňa	Trnavský kraj	122	48.253056°N 17.814444°E	31,39	4 169	132,81	925 52	504050	GA	+421-31	
Špačince	Trnavský kraj	158	48.440556°N 17.610833°E	22,1	2 537	114,8	919 51	507601	TT	+421-33	
Špania Dolina	Banskobystrický kraj	728	48.8075°N 19.1341°E	12,72	192	15,09	974 01 	509035	BB	+421-48	
Španie Pole	Banskobystrický kraj	360	48.5207°N 20.1267°E	9,19	83	9,03	980 23 	515647	RS	+421-47	
Šrobárová	Nitriansky kraj	127	47.8040°N 18.3251°E	8,39	506	60,31	946 32 	501352	KN	+421-35	
Štefanov	Trnavský kraj	187	48.6784°N 17.2004°E	22,09	1 677	75,92	906 45	504904	SE	+421-34	
Štefanov nad Oravou	Žilinský kraj	570	49.3573°N 19.5087°E	12,35	653	52,87	027 44 	510084	TS	+421-43	
Štefanová	Bratislavský kraj	192	48.383333°N 17.383333°E	6,72	341	50,74	900 86 	508268	PK	+421-33	
Štefanovce	Prešovský kraj	580	49.039444°N 20.974722°E	5,25	207	39,43	082 35 	525278	PO	+421-51	
Štefanovce	Prešovský kraj	215	48.9600°N 21.7740°E	8,93	116	12,99	094 01 	529184	VT	+421-57	
Štefanovičová	Nitriansky kraj	138	48.1856°N 18.0854°E	12,4	326	26,29	951 15 	581691	NR	+421-37	
Štefurov	Prešovský kraj	230	49.1760°N 21.5082°E	8,75	112	12,8	090 42 	527904	SK	+421-54	
Šterusy	Trnavský kraj	210	48.603889°N 17.675278°E	11,08	508	45,85	922 03 	556548	PN	+421-33	
Štiavnické Bane	Banskobystrický kraj	682	48.439167°N 18.870000°E	10,16	816	80,31	969 81	517283	BS	+421-45	
Štiavnička	Žilinský kraj	513	49.0697°N 19.3428°E	1,91	701	367,02	034 01 	511056	RK	+421-44	
Štiavnik	Žilinský kraj	387	49.243056°N 18.466389°E	55,69	4 097	73,57	013 55	518018	BY	+421-41	
Štitáre	Nitriansky kraj	244	48.3497°N 18.1598°E	7,49	795	106,14	951 01 	582719	NR	+421-37	
Štítnik	Košický kraj	284	48.6577°N 20.3651°E	34,54	1 527	44,21	049 32	526312	RV	+421-58	
Štós	Košický kraj	516	48.7101°N 20.7864°E	31,36	738	23,53	044 26	522074	KS	+421-55	
Štôla	Prešovský kraj	840	49.100000°N 20.150000°E	2,56	528	206,25	059 37	559890	PP	+421-52	
Štrba	Prešovský kraj	850	49.0590°N 20.0799°E	63,07	3 571	56,62	059 38 	523933	PP	+421-52	
Štrkovec	Banskobystrický kraj	169	48.3604°N 20.3239°E	4,35	381	87,59	980 45	515655	RS	+421-47	
Štúrovo	Nitriansky kraj	109	47.798889°N 18.723333°E	13,44	10 666	793,6	943 01	503584	NZ	+421-36	
Štvrtok	Trenčiansky kraj	197	48.8202°N 17.8819°E	4,08	353	86,52	913 05 	506541	TN	+421-32	
Štvrtok na Ostrove	Trnavský kraj	128	48.100000°N 17.350000°E	13,07	1 772	135,58	930 40	501913	DS	+421-31	
Šuja	Žilinský kraj	467	49.067569°N 18.628350°E	2,42	311	128,51	015 01 	581712	ZA	+421-41	
Šuľa	Banskobystrický kraj	284	48.354722°N 19.406389°E	11,24	75	6,67	991 01 	516449	VK	+421-47	
Šumiac	Banskobystrický kraj	880	48.840000°N 20.129722°E	81,76	1 310	16,02	976 71	509043	BR	+421-48	
Šuňava	Prešovský kraj	798 – 1 095	49.029167°N 20.090000°E	26,38	1 982	75,13	059 39	524107	PP	052/	
Šurany	Nitriansky kraj	144	48.087222°N 18.186111°E	59,81	10 080	168,53	942 01	503592	NZ	+421-35	
Šurianky	Nitriansky kraj	160	48.4246°N 18.0211°E	10,4	597	57,4	951 26	500780	NR	+421-37	
Šurice	Banskobystrický kraj	219	48.2303°N 19.9155°E	14	502	35,86	980 33 	511897	LC	+421-47	
Šúrovce	Trnavský kraj	132	48.332778°N 17.717500°E	19,91	2 298	115,42	919 25	507636	TT	+421-33	
Šútovo	Žilinský kraj	448	49.151006°N 19.082650°E	16,63	517	31,09	038 54 	512656	MT	+421-43	
Šutovce	Trenčiansky kraj	434	48.8014°N 18.5368°E	7,08	432	61,02	972 01 	514390	PD	+421-46	
Švábovce	Prešovský kraj	676	49.0295°N 20.3579°E	9,17	1 402	152,89	059 12 	523950	PP	+421-52	
Švedlár	Košický kraj	482	48.8125°N 20.7107°E	84,49	2 070	24,5	053 34	543659	GL	+421-53	
Švošov	Žilinský kraj	4 701 066 452	49.1251°N 19.1975°E	4,27	821	192,27	034 91 	511064	RK	+421-44	
Tachty	Banskobystrický kraj	311	48.154167°N 19.940278°E	7,83	523	66,79	980 34 	515663	RS	+421-47	
Tajná	Nitriansky kraj	174	48.2630°N 18.3617°E	8,48	278	32,78	952 01 	500798	NR	037 783	
Tajov	Banskobystrický kraj	464	48.746283°N 19.070367°E	9,29	592	63,72	976 34	509060	BB	+421-48	
Tarnov	Prešovský kraj	330	49.3204°N 21.1697°E	5,84	389	66,61	086 01 	519871	BJ	+421-54	
Tatranská Javorina	Prešovský kraj	1 018	49.268056°N 20.141389°E	94,04	219	2,33	059 56	580368	PP	+421-52	
Tašuľa	Košický kraj	104	48.6594°N 22.1687°E	6,02	201	33,39	072 52 	523160	SO	+421-56	
Tehla	Nitriansky kraj	174	48.1849°N 18.3865°E	19,09	524	27,45	935 35	502812	LV	+421-36	
Tekolďany	Trnavský kraj	210	48.491667°N 17.904167°E	2,6	147	56,54	920 62 	556611	HC	+421-33	
Tekovská Breznica	Banskobystrický kraj	215	48.384722°N 18.616944°E	29,81	1 236	41,46	966 52	517291	ZC	+421-45	
Tekovské Lužany	Nitriansky kraj	152	48.0987°N 18.5402°E	43,94	2 864	65,18	935 41	502821	LV	+421-36	
Tekovské Nemce	Nitriansky kraj	244	48.3572°N 18.5312°E	28,5	1 070	37,54	966 54	517305	ZM	+421-45	
Tekovský Hrádok	Nitriansky kraj	154	48.1673°N 18.5520°E	7,32	348	47,54	935 51	502847	LV	+421-36	
Telgárt	Banskobystrický kraj	881	48.851878°N 20.188718°E	55,97	1 534	27,41	976 73	509051	BR	+421-48	
Telince	Nitriansky kraj	162	48.2312°N 18.3684°E	6,84	395	57,75	951 61 	555967	NR	+421-37	
Temeš	Trenčiansky kraj	528	48.868889°N 18.477500°E	4,27	232	54,33	972 29 	514403	PD	+421-46	
Teplička	Košický kraj	550	48.910000°N 20.588889°E	7,74	1 162	150,13	052 01 	543667	SN	+421-53	
Teplička nad Váhom	Žilinský kraj	356	49.223889°N 18.799167°E	10,88	3 970	364,89	013 01	518034	ZA	041/	
Tepličky	Trnavský kraj	215	48.465833°N 17.852778°E	5,67	294	51,85	920 66 	556645	HC	+421-33	
Teplý Vrch	Banskobystrický kraj	214	48.470278°N 20.101389°E	5,98	286	47,83	980 23	515671	RS	+421-47	
Terany	Banskobystrický kraj	144	48.1792°N 18.8932°E	10,83	643	59,37	962 68 	518867	KA	+421-45	
Terchová	Žilinský kraj	518	49.255556°N 19.033333°E	84,54	4 018	47,53	013 06	518042	ZA	+421-41	
Teriakovce	Prešovský kraj	363 m	48.9895°N 21.3096°E	3,2	617	192,81	080 05 	525286	PO	+421-51	
Terňa	Prešovský kraj	380	49.1112°N 21.2376°E	29,41	1 198	40,73	082 67	525294	PO	+421-51	
Tesáre	Nitriansky kraj	207	48.6019°N 18.0886°E	13,54	742	54,8	956 21 	505561	TO	+421-38	
Tesárske Mlyňany	Nitriansky kraj	165	48.352778°N 18.358333°E	18,01	1 791	99,44	951 76	500810	ZM	+421-37	
Tešedíkovo	Nitriansky kraj	112	48.106164°N 17.846431°E	22,78	3 749	164,57	925 82	504068	SA	+421-31	
Tibava	Košický kraj	130	48.7412°N 22.2093°E	10,66	557	52,25	073 01 	523178	SO	+421-56	
Tichý Potok	Prešovský kraj	527	49.1478°N 20.7869°E	62,6	346	5,53	082 74 	525308	SB	+421-51	
Timoradza	Trenčiansky kraj	235	48.8116°N 18.2366°E	10,49	523	49,86	956 52 	505579	BN	+421-38	
Tisinec	Prešovský kraj	195	49.233333°N 21.633333°E	3,76	382	101,6	091 01 	527912	SP	+421-54	
Tisovec	Banskobystrický kraj	411	48.680556°N 19.945556°E	123,43	4 253	34,46	980 61	515680	RS	+421-47	
Tlmače	Nitriansky kraj	176	48.287778°N 18.531111°E	4,64	3 738	805,6	935 21	502863	LV	+421-36	
Točnica	Banskobystrický kraj	261	48.4132°N 19.6412°E	11,92	395	33,14	985 22 	511901	LC	+421-47	
Tokajík	Prešovský kraj	211	49.106389°N 21.708889°E	8,24	105	12,74	090 34	527921	SP	+421-54	
Tomášikovo	Trnavský kraj	114	48.083889°N 17.693056°E	21,13	1 633	77,28	925 04	504076	GA	+421-31	
Tomášov	Bratislavský kraj	128	48.146111°N 17.340000°E	19,96	2 412	120,84	900 44	508276	SC	+421-2	
Tomášovce	Banskobystrický kraj	256	48.374722°N 19.617500°E	14,1	1 384	98,16	985 56	511919	LC	+421-47	
Tomášovce	Banskobystrický kraj	184	48.3925°N 20.1529°E	6,44	201	31,21	980 21 	515698	RS	+421-47	
Topoľa	Prešovský kraj	384	49.044167°N 22.355833°E	26,38	159	6,03	067 65	520888	SV	+421-57	
Topoľčany	Nitriansky kraj	174	48.558889°N 18.174167°E	27,58	26 629	965,52	955 01	504998	TO	+421-38	
Topoľčianky	Nitriansky kraj	220	48.4227°N 18.4092°E	26,33	2 721	103,34	951 93	500828	ZM	+421-37	
Topoľnica	Trnavský kraj	116	48.170833°N 17.795278°E	10,47	814	77,75	925 92 	504084	GA	+421-31	
Topoľníky	Trnavský kraj	111	47.966667°N 17.783333°E	34,82	3 015	86,59	930 11	501921	DS	+421-31	
Topoľovka	Prešovský kraj	138	48.9238°N 21.8135°E	7,79	816	104,75	067 45	520896	HE	+421-57	
Toporec	Prešovský kraj	603	49.2646°N 20.4914°E	28,12	1 879	66,82	059 95	523976	KK	+421-52	
Tornaľa	Banskobystrický kraj	181	48.422222°N 20.330278°E	57,76	7 415	128,38	982 01	515612	RA	+421-47	
Torysa	Prešovský kraj	420	49.1600°N 20.8783°E	10,57	1 527	144,47	082 76	525316	SB	+421-51	
Torysky	Prešovský kraj	813	49.0967°N 20.6764°E	17,72	356	20,09	053 71 	543675	LE	+421-53	
Tovarné	Prešovský kraj	140	48.912222°N 21.757500°E	7,71	1 007	130,61	094 01	529192	VT	+421-57	
Tovarnianska Polianka	Prešovský kraj	140	48.8992°N 21.7726°E	4,24	109	25,71	094 01 	529206	VT	+421-57	
Tovarníky	Nitriansky kraj	182	48.571375°N 18.146825°E	5,41	1 446	267,28	955 01 	580457	TO	+421-38	
Tôň	Nitriansky kraj	112	47.8043°N 17.8390°E	9,5	799	84,11	946 15	501361	KN	+421-35	
Trakovice	Trnavský kraj	150	48.439167°N 17.708611°E	11,63	1 482	127,43	919 33	507661	HC	+421-33	
Trávnica	Nitriansky kraj	130	48.130000°N 18.330000°E	21,15	1 113	52,62	941 46	503606	NZ	+421-35	
Trávnik	Nitriansky kraj	109	47.7763°N 17.7984°E	18,62	725	38,94	946 19 	501379	KN	+421-35	
Trebatice	Trnavský kraj	168	48.596667°N 17.752778°E	7,67	1 346	175,49	922 10	507679	PN	+421-33	
Trebejov	Košický kraj	241	48.835278°N 21.219444°E	7,67	206	26,86	044 81 	522082	KS	+421-55	
Trebeľovce	Banskobystrický kraj	187	48.2843°N 19.7150°E	19,55	939	48,03	985 31 	511927	LC	+421-47	
Trebichava	Trenčiansky kraj	334	48.822406°N 18.300003°E	11,77	41	3,48	956 53 	505595	BN	+421-38	
Trebišov	Košický kraj	109	48.633611°N 21.717222°E	70,16	24 522	349,52	075 01	528099	TV	+421-56	
Trebostovo	Žilinský kraj	470	49.0247°N 18.8613°E	13,12	506	38,57	038 41 	512664	MT	+421-43	
Trebušovce	Banskobystrický kraj	163	48.1160°N 19.2001°E	9,48	198	20,89	991 27 	516457	VK	+421-47	
Trenč	Banskobystrický kraj	181	48.2237°N 19.5776°E	17,56	464	26,42	985 32 	557340	LC	+421-47	
Trenčianska Teplá	Trenčiansky kraj	224	48.9332°N 18.1179°E	15,13	4 168	275,48	914 01	506559	TN	+421-32	
Trenčianska Turná	Trenčiansky kraj	227	48.850000°N 18.019444°E	17,24	3 144	182,37	913 21	506567	TN	+421-32	
Trenčianske Bohuslavice	Trenčiansky kraj	198	48.8026°N 17.8581°E	6,41	912	142,28	913 07 	506583	NM	+421-32	
Trenčianske Jastrabie	Trenčiansky kraj	285	48.801111°N 18.111667°E	12,25	1 200	97,96	913 22	506591	TN	+421-32	
Trenčianske Mitice	Trenčiansky kraj	328	48.820000°N 18.117778°E	12,84	771	60,05	913 22 	506605	TN	+421-32	
Trenčianske Stankovce	Trenčiansky kraj	208	48.8398°N 17.9850°E	24,5	3 143	128,29	913 11	545741	TN	032/64..	
Trenčianske Teplice	Trenčiansky kraj	268	48.910556°N 18.166111°E	10,45	4 144	396,56	914 51	506613	TN	+421-32	
Trenčín	Trenčiansky kraj	217	48.894167°N 18.040556°E	82	55 886	681,54	911 01 - 08	505820	TN, TC, TE	+421-32	
Trhová Hradská	Trnavský kraj	112	47.991667°N 17.750000°E	24,76	2 144	86,59	930 13	555576	DS	+421-31	
Trhovište	Košický kraj	132	48.6994°N 21.8052°E	12,56	1 900	151,27	072 04	523186	MI	+421-56	
Trnava	Trnavský kraj	146	48.376944°N 17.593056°E	71,54	65 978	922,25	917 01, 917 02, 917 05, 917 08	506745	TT	+421-33	
Trnavá Hora	Banskobystrický kraj	288	48.591568°N 18.952703°E	24,55	1 183	48,19	966 11	517313	ZH	+421-45	
Trnava pri Laborci	Košický kraj	176	48.818333°N 21.932222°E	15,94	573	35,95	072 31 	523194	MI	+421-56	
Trnávka	Trnavský kraj	122	48.013889°N 17.405556°E	7,97	466	58,47	930 32 	501956	DS	+421-31	
Trnávka	Košický kraj	177	48.7051°N 21.6201°E	6,02	175	29,07	078 01 	543829	TV	+421-56	
Trnkov	Prešovský kraj	305	49.033333°N 21.350000°E	1,79	232	129,61	082 12 	525324	PO	+421-51	
Trnovec	Trnavský kraj	180	48.800000°N 17.188333°E	2,53	312	123,32	908 51 	504912	SI	+421-34	
Trnovec nad Váhom	Nitriansky kraj	116	48.148222°N 17.928486°E	32,54	2 699	82,94	925 71	504092	SA	+421-31	
Trnovo	Žilinský kraj	460	49.0166°N 18.8606°E	7,44	264	35,48	038 41 	512672	MT	+421-43	
Tročany	Prešovský kraj	345	49.1824°N 21.3220°E	8,47	310	36,6	086 41 	519880	BJ	+421-54	
Trpín	Banskobystrický kraj	397	48.2959°N 19.1391°E	6,36	120	18,87	962 44 	518883	KA	+421-45	
Trstená	Žilinský kraj	607	49.361667°N 19.610556°E	82,54	7 463	90,42	028 01	510106	TS	+421-43	
Trstená na Ostrove	Trnavský kraj	116	47.916667°N 17.500000°E	6,25	553	88,48	930 04 	501964	DS	+421-31	
Trstené	Žilinský kraj	640	49.1122°N 19.6191°E	3,94	242	61,42	032 21 	511072	LM	+421-44	
Trstené pri Hornáde	Košický kraj	204	48.572500°N 21.336944°E	12,92	1 537	118,96	044 11 	522104	KS	+421-55	
Trstice	Trnavský kraj	111	48.016667°N 17.816667°E	20,27	3 766	185,79	925 42	504106	GA	+421-31	
Trstín	Trnavský kraj	236	48.527778°N 17.463889°E	26,19	1 396	53,3	919 05	507687	TT	+421-33	
Trsťany	Košický kraj	249	48.761111°N 21.406667°E	6,59	278	42,19	044 45 	522091	KS	+421-55	
Tŕnie	Banskobystrický kraj	516	48.6060°N 19.0317°E	12,29	426	34,66	962 34	518875	ZV	+421-45	
Tuhár	Banskobystrický kraj	384	48.4285°N 19.5079°E	19,24	370	19,23	985 12	511943	LC	+421-47	
Tuhrina	Prešovský kraj	490	48.8978°N 21.4063°E	13,26	479	36,12	082 07	525332	PO	+421-51	
Tuchyňa	Trenčiansky kraj	275	49.0408°N 18.2171°E	5,54	781	140,97	018 55	513725	IL	+421-42	
Tulčík	Prešovský kraj	260	49.0890°N 21.3124°E	12,81	1 325	103,43	082 13	525341	PO	+421-42151	
Tupá	Nitriansky kraj	130	48.1076°N 18.8898°E	11,97	577	48,2	935 84 	502871	LV	+421-36	
Turá	Nitriansky kraj	152	48.1561°N 18.5817°E	9,29	224	24,11	935 51 	502880	LV	+421-36	
Turany	Žilinský kraj	406	49.116667°N 19.033333°E	46,75	4 367	93,41	038 53	512681	MT	+421-43	
Turany nad Ondavou	Prešovský kraj	176	49.1007°N 21.6535°E	9,6	392	40,83	090 33	527939	SP	+421-54	
Turcovce	Prešovský kraj	226	49.0527°N 21.8464°E	10,01	303	30,27	067 23 	520900	HE	+421-57	
Turček	Žilinský kraj	674	48.7631°N 18.9129°E	53,01	656	12,38	038 48	512699	TR	+421-43	
Turčianky	Trenčiansky kraj	230	48.5811°N 18.3208°E	3,73	151	40,48	958 44 	556271	PE	+421-38	
Turčianska Štiavnička	Žilinský kraj	430	49.082786°N 19.023239°E	14,07	908	64,53	038 51	512702	MT	+421-43	
Turčianske Jaseno	Žilinský kraj	452 m n, m, – 1 381 m n, m, (	49.0108°N 19.0506°E	20,47	364	17,78	038 02 	545961	MT	+421-43	
Turčianske Kľačany	Žilinský kraj	410	49.115833°N 18.948333°E	12,21	920	75,35	038 61 	512711	MT	+421-43	
Turčianske Teplice	Žilinský kraj	518	48.858889°N 18.863611°E	33,48	6 570	196,24	039 01	512729	TR	+421-43	
Turčiansky Ďur	Žilinský kraj	457	48.9530°N 18.8415°E	0,93	173	186,02	038 43 	512737	MT	+421-43	
Turčiansky Peter	Žilinský kraj	419	49.028889°N 18.890000°E	4,62	430	93,07	038 41 	512753	MT	+421-43	
Turčok	Banskobystrický kraj	336	48.6407°N 20.1487°E	14,78	275	18,61	049 18 	526321	RA	+421-58	
Turecká	Banskobystrický kraj	610	48.8485°N 19.0878°E	10,16	147	14,47	976 02 	557269	BB	+421-48	
Tureň	Bratislavský kraj	120	48.191111°N 17.389444°E	5,3	1 059	199,81	903 01 	508284	SC	+421-2	
Turie	Žilinský kraj	446	49.149167°N 18.752778°E	27,2	1 972	72,5	013 12	518051	ZA	+421-41	
Turík	Žilinský kraj	500	49.1096°N 19.3807°E	8,27	226	27,33	034 83 	507407	RK	+421-44	
Turnianska Nová Ves	Košický kraj	172	48.577500°N 20.887222°E	6,42	343	53,43	044 02 	521779	KS	+421-55	
Turňa nad Bodvou	Košický kraj	190	48.6140°N 21.0014°E	19,77	11 186	565,81	044 02	521698	KS	+421-55	
Turová	Banskobystrický kraj	335	48.5986°N 19.0531°E	6,98	409	58,6	962 34 	518891	ZV	+421-45	
Turzovka	Žilinský kraj	522	49.405000°N 18.625278°E	34,91	7 684	220,11	023 54	509507	CA	+421-41	
Tušice	Košický kraj	108	48.7255°N 21.7488°E	6,23	704	113	072 02 	523208	MI	+421-56	
Tušická Nová Ves	Košický kraj	108	48.7169°N 21.7517°E	4,33	554	127,94	072 02	523216	MI	+421-56	
Tužina	Trenčiansky kraj	3 521 063	48.898333°N 18.612500°E	48,19	1 210	25,11	972 14	514411	PD	+421-46	
Tvarožná	Prešovský kraj	676	49.085556°N 20.475833°E	35	696	19,89	059 71 	523984	KK	+421-52	
Tvrdomestice	Nitriansky kraj	18° 8'2,34"	48.6380°N 18.1340°E	8,79	467	53,13	956 22 	505617	TO	+421-38	
Tvrdošín	Žilinský kraj	592	49.336944°N 19.550278°E	56,55	9 360	165,52	027 44	510114	TS	+421-43	
Tvrdošovce	Nitriansky kraj	120	48.0950°N 18.0638°E	55,56	5 181	93,25	941 10	503614	NZ	+421-35	
