name	region	elevation	gps	area	population	density	zip	suj	ecv	tel
Bottovo	Banskobystrický kraj	196	48.313056°N 20.150000°E	10,79	205	19	980 41 	514551	RS	+421-47	
Boťany	Košický kraj	101	48.444444°N 22.089722°E	19,52	1 253	64,19	076 43 	528188	TV	+421-56	
Bôrka	Košický kraj	560	48.630278°N 20.763333°E	23,74	535	22,54	049 42 	525561	RV	+421-58	
Bracovce	Košický kraj	105	48.645556°N 21.839444°E	9,62	949	98,65	072 05	522368	MI	+421-56	
Branč	Nitriansky kraj	133	48.210833°N 18.147778°E	13,81	2 205	159,67	951 13	500071	NR	+421-37	
Branovo	Nitriansky kraj	128	48.023056°N 18.306111°E	9,32	597	64,06	941 31 	503096	NZ	+421-35	
Bratislava	---	152	48.14389°N 17.10972°E	367	417 389	1 137,3	8XX XX	---	---	+421-2	
Braväcovo	Banskobystrický kraj	610	48.840000°N 19.750000°E	29,41	695	23,63	976 64 	508489	BR	+421-48	
Brdárka	Košický kraj	569	48.767222°N 20.337778°E	6,13	70	11,42	049 34 	525570	RV	+421-58	
Brehov	Košický kraj	111	48.486389°N 21.819722°E	7,9	601	76,08	076 05 	528200	TV	+421-56	
Brehy	Banskobystrický kraj	221	48.407222°N 18.649444°E	12,36	1 047	84,71	968 01 	581607	ZC	+421-45	
Brekov	Prešovský kraj	140	48.905278°N 21.839167°E	9,71	1 365	140,58	066 01 	520055	HE	+421-57	
Brestov	Prešovský kraj	212	48.967778°N 21.885556°E	10,12	589	58,2	066 01 	520063	HE	+421-57	
Brestov	Prešovský kraj	290	48.868611°N 21.348333°E	10,37	451	43,49	082 05 	524212	PO	+421-51	
Brestov nad Laborcom	Prešovský kraj	215	49.111667°N 21.938611°E	6,04	108	17,88	067 01 	520071	ML	+421-57	
Brestovany	Trnavský kraj	136	48.381389°N 17.684444°E	16,37	2 548	155,65	919 27	506842	TT	+421-33	
Brestovec	Trenčiansky kraj	387	48.793333°N 17.566389°E	17,34	937	54,04	907 01 	504254	MY	+421-34	
Brestovec	Nitriansky kraj	110	47.860000°N 17.824722°E	7,49	468	62,48	946 17 	501069	KN	+421-35	
Bretejovce	Prešovský kraj	215	48.827778°N 21.294722°E	4,38	377	86,07	082 03 	524221	PO	+421-51	
Bretka	Košický kraj	191	48.487778°N 20.340833°E	9,54	395	41,4	980 46 	514578	RV	+421-47	
Breza	Žilinský kraj	657	49.387500°N 19.385000°E	22,52	1 588	70,52	029 53	509591	NO	+421-43	
Brezany	Žilinský kraj	381	49.188889°N 18.673333°E	3,66	581	158,74	010 04 	547557	ZA	+421-41	
Brezina	Košický kraj	179	48.550000°N 21.553056°E	12,96	707	54,55	076 12 	528218	TV	+421-56	
Breziny	Banskobystrický kraj	366	48.512500°N 19.084444°E	5,48	362	66,06	962 61 	518191	ZV	+421-45	
Breznica	Prešovský kraj	176	49.163056°N 21.661111°E	9,92	787	79,33	091 01 	527157	SP	+421-54	
Breznička	Banskobystrický kraj	227	48.420833°N 19.738333°E	9,21	780	84,69	985 02	511269	PT	+421-47	
Breznička	Prešovský kraj	235	49.224722°N 21.702778°E	5,84	125	21,4	091 01 	527165	SP	+421-54	
Brezno	Banskobystrický kraj	504	48.806667°N 19.642222°E	121,96	21 534	176,57	977 01, 977 03	508497	BR	+421-48	
Brezolupy	Trenčiansky kraj	222	48.701389°N 18.300556°E	6,34	499	78,71	957 01 	542741	BN	+421-38	
Brezov	Prešovský kraj	190	49.144444°N 21.492222°E	6,89	383	55,59	087 01 	519081	BJ	+421-54	
Brezová pod Bradlom	Trenčiansky kraj	265	48.665833°N 17.540556°E	41,08	5 041	122,71	906 13	504262	MY	+421-34	
Brezovec	Prešovský kraj	269	48.935556°N 22.386944°E	3,43	47	13,7	067 73 	520080	SV	+421-57	
Brezovica	Prešovský kraj	447	49.145278°N 20.847500°E	18,23	1 719	94,3	082 74 (Brezovica nad Torysou)	524239	SB	+421-51	
Brezovica	Žilinský kraj	720	49.340833°N 19.651944°E	19,21	1 303	67,83	028 01 	509604	TS	+421-43	
Brezovička	Prešovský kraj	467	49.128611°N 20.854722°E	8,99	427	47,5	082 74 	524247	SB	+421-51	
Brezovka	Prešovský kraj	346	49.270278°N 21.422222°E	3,27	116	35,47	086 11 	519090	BJ	+421-54	
Brežany	Prešovský kraj	367	48.979444°N 21.108611°E	3,31	154	46,53	082 41 	524255	PO	+421-51	
Brhlovce	Nitriansky kraj	204	48.215000°N 18.740000°E	13,38	315	23,54	935 02 	502103	LV	+421-36	
Brieštie	Žilinský kraj	561	48.916667°N 18.737500°E	11,17	145	12,98	038 22 	512117	TR	+421-43	
Brodské	Trnavský kraj	160	48.690556°N 17.015278°E	19,89	2 349	118,1	908 85	504271	SI	+421-34	
Brodzany	Trenčiansky kraj	192	48.607222°N 18.344444°E	18,29	806	44,07	958 42	580449	PE	+421-38	
Brunovce	Trenčiansky kraj	172	48.672500°N 17.855556°E	5,82	560	96,22	916 25 	505889	NM	+421-32	
Brusnica	Prešovský kraj	191	49.153611°N 21.700556°E	14,28	414	28,99	090 31 	527173	SP	+421-54	
