Meno	Kraj	Nadm.vyska (m.n.m.)	GPS	Rozloha (km2)	Obyvatelstvo	Hustota obyv. (obyv./km2)	PSC	SUJ	ECV	TEL
Lisková	Žilinský kraj	484	49.0880°S 19.3513°V	15,95	2 104	131,91	034 81	510785	RK	+421-44	
Lišov	Banskobystrický kraj	182	48.2266°S 18.8653°V	19,39	246	12,69	962 71 	518603	KA	+421-45	
Litava	Banskobystrický kraj	430	48.2990°S 19.1794°V	22,13	767	34,66	962 44	518611	KA	+421-45	
Litmanová	Prešovský kraj	656	49.3701°S 20.6215°V	17,92	637	35,55	065 31 	526851	SL	+421-52	
Livina	Trenčiansky kraj	190	48.6496°S 18.2519°V	3,22	113	35,09	956 32 	556173	PE	+421-38	
Livinské Opatovce	Trenčiansky kraj	200	48.6487°S 18.2314°V	5,01	247	49,3	956 32 	556190	PE	+421-38	
Livov	Prešovský kraj	510	49.2508°S 21.0881°V	26,38	85	3,22	086 05 	519502	BJ	+421-54	
Livovská Huta	Prešovský kraj	660	49.242222°S 21.028889°V	14,22	44	3,09	086 05 	519511	BJ	+421-54	
Lodno	Žilinský kraj	513 – 750	49.333333°S 18.850000°V	8,85	996	112,54	023 34 	509272	KM	+421-41	
Lok	Nitriansky kraj	178	48.1817°S 18.4584°V	17,2	981	57,03	935 38	502481	LV	+421-36	
Lokca	Žilinský kraj	703 m	49.366667°S 19.410278°V	24,2	2 308	95,37	029 51	509809	NO	+421-43	
Lom nad Rimavicou	Banskobystrický kraj	938	48.6416°S 19.6486°V	17,4	277	15,92	976 53	508730	BR	+421-48	
Lomná	Žilinský kraj	690	49.3619°S 19.3035°V	21,56	892	41,37	029 54 	509817	NO	+421-43	
Lomné	Prešovský kraj	170	49.1068°S 21.6377°V	7,47	261	34,94	090 33 	527513	SP	+421-54	
Lomnička	Prešovský kraj	615	49.2471°S 20.5700°V	30,85	2 930	94,98	065 03 	526860	SL	+421-52	
Lontov	Nitriansky kraj	125	48.0412°S 18.7773°V	15,06	684	45,42	935 75 	502499	LV	+421-36	
Lopašov	Trnavský kraj	265	48.7506°S 17.3286°V	5,21	336	64,49	908 63 	504548	SI	+421-34	
Lopúchov	Prešovský kraj	275	49.1391°S 21.3705°V	8,14	329	40,42	086 41 	519529	BJ	+421-54	
Lopušné Pažite	Žilinský kraj	426	49.2785°S 18.8295°V	4,27	464	108,67	023 36 	509281	KM	+421-41	
Lošonec	Trnavský kraj	254	48.483333°S 17.383333°V	23,71	517	21,81	919 04 	556688	TT	+421-33	
Lovce	Nitriansky kraj	262-300	48.4449°S 18.3626°V	10,19	671	65,85	951 92	500461	ZM	+421-37	
Lovča	Banskobystrický kraj	242	48.5729°S 18.8152°V	10,44	699	66,95	966 21	517020	ZH	+421-45	
Lovčica-Trubín	Banskobystrický kraj	344	48.6195°S 18.7939°V	34,59	1 588	45,91	966 23	517038	ZH	+421-45	
Lovinobaňa	Banskobystrický kraj	264	48.437500°S 19.589444°V	21,13	2 138	101,18	985 54	511552	LC	+421-47	
Lozorno	Bratislavský kraj	188	48.334444°S 17.041667°V	44,79	2 953	65,93	900 55	508055	MA	+421-2	
Ložín	Košický kraj	119	48.6592°S 21.8361°V	8,25	808	97,94	072 05 	522732	MI	+421-56	
Lubeník	Banskobystrický kraj	274	48.6551°S 20.1969°V	5,81	1 322	227,54	049 18	525928	RA	+421-58	
Lubina	Trenčiansky kraj	313	48.7838°S 17.7359°V	29,43	1 382	46,96	916 12	506184	NM	+421-32	
Lúč na Ostrove	Trnavský kraj	118	47.975000°S 17.522222°V	15,89	726	45,69	930 03 	501743	DS	+421-31	
Lučatín	Banskobystrický kraj	388	48.7834°S 19.3195°V	10,88	651	59,83	976 61	508756	BB	+421-48	
Lučenec	Banskobystrický kraj	194	48.328611°S 19.669167°V	47,79	28 335	592,91	984 01	511218	LC	+421-47	
Lúčina	Prešovský kraj	485	48.8923°S 21.4303°V	1,89	162	85,71	082 07 	524808	PO	+421-51	
Lučivná	Prešovský kraj	767	49.0537°S 20.1490°V	18,77	986	52,53	059 31 	523658	PP	+421-52	
Lúčka	Prešovský kraj	510	49.0251°S 20.7290°V	3,93	112	28,5	053 03 	543314	LE	+421-53	
Lúčka	Prešovský kraj	536	49.1825°S 20.9796°V	3,89	687	176,61	082 71 	524816	SB	+421-51	
Lúčka	Prešovský kraj	190	49.1021°S 21.4761°V	3,55	525	147,89	087 01 	519537	SK	+421-54	
Lúčka	Košický kraj	588	48.616667°S 20.716667°V	14,94	187	12,52	049 42 	525936	RV	+421-58	
Lúčky	Žilinský kraj	598	49.127983°S 19.403400°V	21,85	1 822	83,39	034 82	510815	RK	+421-44	
Lúčky	Banskobystrický kraj	552	48.6968°S 18.8941°V	8,24	217	26,33	967 01 	517046	ZH	+421-48	
Lúčky	Košický kraj	125	48.766667°S 22.050000°V	7,93	568	71,63	072 34 	522741	MI	+421-56	
Lúčnica nad Žitavou	Nitriansky kraj	137	48.214167°S 18.284722°V	12,1	901	74,46	951 88	500470	NR	+421-37	
Ludanice	Nitriansky kraj	160	48.4972°S 18.1186°V	11,2	1 883	168,13	956 11	505048	TO	+421-38	
Ludrová	Žilinský kraj	560	49.0472°S 19.3326°V	5,34	1 000	187,27	034 71	510823	RK	+421-44	
Luhyňa	Košický kraj	167	48.4893°S 21.6368°V	6,84	315	46,05	076 14 	528528	TV	+421-56	
Lúka	Trenčiansky kraj	200	48.6570°S 17.8785°V	17,41	638	36,65	916 33 	506206	NM	+421-33	
Lukačovce	Prešovský kraj	stred obce - 157 8	49.033333°S 21.783333°V	7,47	466	62,38	067 24	520462	HE	+421-57	
Lukáčovce	Nitriansky kraj	168	48.394722°S 17.938611°V	16,84	1 139	67,64	951 23	500488	NR	+421-37	
Lukavica	Banskobystrický kraj	339	48.6415°S 19.2073°V	5,16	153	29,65	962 31 	558087	ZV	+421-45	
Lukavica	Prešovský kraj	358	49.262400°S 21.320894°V	8,29	378	45,6	086 21	519545	BJ	+421-54	
Lukov	Prešovský kraj	420	49.2927°S 21.0809°V	28,59	612	21,41	086 05	519553	BJ	+421-54	
Lukovištia	Banskobystrický kraj	303 m	48.4926°S 20.0244°V	14,29	195	13,65	980 26	515175	RS	+421-47	
Lúky	Trenčiansky kraj	332	49.191667°S 18.223333°V	7,74	906	117,05	020 53	513334	PU	+421-42	
Lula	Nitriansky kraj	169	48.177778°S 18.358333°V	8,39	182	21,69	935 35 	502502	LV	+421-36	
Lupoč	Banskobystrický kraj	298	48.3602°S 19.5412°V	9,34	241	25,8	985 11 	511579	LC	+421-47	
Lutila	Banskobystrický kraj	294	48.614617°S 18.841167°V	25,98	1 325	51	966 22	599336	ZH	+421-45	
Lutiše	Žilinský kraj	560	49.2922°S 18.9553°V	20,08	756	37,65	013 05 	517763	ZA	+421-41	
Lužany	Nitriansky kraj	180	48.5154°S 18.0143°V	3,9	198	50,77	956 07 	505064	TO	+421-38	
Lužany pri Topli	Prešovský kraj	180	49.1214°S 21.4949°V	3,24	265	81,79	087 01 	519561	SK	+421-54	
Lužianky	Nitriansky kraj	150	48.341667°S 18.031944°V	12,43	2 865	230,49	951 41	580899	NR	+421-37	
Lysá pod Makytou	Trenčiansky kraj	350	49.197222°S 18.195000°V	33,4	2 128	63,71	020 54	513342	PU	042 4680	
Lysica	Žilinský kraj	500	49.244600°S 18.921972°V	15,53	824	53,06	013 05 	517771	ZA	+421-41	
Ľubá	Nitriansky kraj	153	47.8518°S 18.5945°V	9,4	446	47,45	943 53	503339	NZ	+421-36	
Ľubeľa	Žilinský kraj	617	49.0529°S 19.4795°V	17,46	1 115	63,86	032 14	510793	LM	+421-44	
Ľubica	Prešovský kraj	629	49.1206°S 20.4483°V	76,53	4 350	56,84	059 71	523682	KK	+421-52	
Ľubietová	Banskobystrický kraj	450	48.7465°S 19.3628°V	61,04	1 160	19	976 55	508748	BB	+421-48	
Ľubiša	Prešovský kraj	174	49.007778°S 21.950556°V	10,02	815	81,34	067 11	520454	HE	+421-57	
Ľubochňa	Žilinský kraj	460	49.116667°S 19.166667°V	113,68	1 039	9,14	034 91	510807	RK	+421-43	
Ľuboreč	Banskobystrický kraj	252	48.3100°S 19.5167°V	31,67	331	10,45	985 11 	511561	LC	+421-47	
Ľuboriečka	Banskobystrický kraj	230	48.2613°S 19.5258°V	11,68	146	12,5	991 02 	516163	VK	+421-47	
Ľubotice	Prešovský kraj	286	49.0116°S 21.2739°V	8,32	3 173	381,37	080 06 	518590	PO	+421-51	
Ľubotín	Prešovský kraj	492	49.261667°S 20.877222°V	10,84	1 377	127,03	065 41	526878	SL	+421-52	
Ľubovec	Prešovský kraj	320	48.9130°S 21.1744°V	15,48	490	31,65	082 42 	524794	PO	+421-51	
Ľudovítová	Nitriansky kraj	150	48.397222°S 18.077778°V	1,88	250	132,98	951 44 	581097	NR	+421-37	
Ľutina	Prešovský kraj	429	49.1673°S 21.0476°V	6,91	464	67,15	082 57	524824	SB	+421-51	
Ľutov	Trenčiansky kraj	248	48.774722°S 18.279722°V	8,58	159	18,53	957 03 	505056	BN	+421-38	
Macov	Trnavský kraj	123	48.020833°S 17.427778°V	2,72	278	102,21	930 32 	555606	DS	+421-31	
Mad	Trnavský kraj	114	47.954167°S 17.658333°V	7,71	537	69,65	930 14 	555649	DS	+421-31	
Madunice	Trnavský kraj	148	48.4768°S 17.7799°V	12	2 184	182	922 42	507288	HC	+421-33	
Magnezitovce	Banskobystrický kraj	346	48.6684°S 20.2254°V	15,18	456	30,04	049 16 	525944	RA	+421-58	
Machulince	Nitriansky kraj	230	48.412778°S 18.433889°V	9,42	1 115	118,37	951 93 	500500	ZM	+421-37	
Majcichov	Trnavský kraj	149	48.283333°S 17.633333°V	18,2	1 907	104,78	919 22	507296	TT	+421-33	
Majere	Prešovský kraj	466	49.3965°S 20.3768°V	1,33	95	71,43	061 01 	523674	KK	+421-52	
Majerovce	Prešovský kraj	135	48.8920°S 21.7146°V	3,54	454	128,25	094 09 	528838	VT	+421-57	
Makov	Žilinský kraj	583	49.370556°S 18.479722°V	46,05	1 780	38,65	023 56	509299	CA	+421-41	
Makovce	Prešovský kraj	255	49.2581°S 21.7527°V	4,57	175	38,29	090 23 	527521	SP	+421-54	
Malá Čalomija	Banskobystrický kraj	151	48.0851°S 19.2302°V	6,41	215	33,54	991 08 	516171	VK	+421-47	
Malá Čausa	Trenčiansky kraj	340	48.799444°S 18.700833°V	15,35	674	43,91	971 01 	514179	PD	+421-46	
Malá Čierna	Žilinský kraj	530	49.102778°S 18.596944°V	4,26	354	83,1	015 01 	517780	ZA	+421-41	
Malá Domaša	Prešovský kraj	140	48.9691°S 21.7105°V	5,66	492	86,93	094 02 	528846	VT	+421-57	
Malá Franková	Prešovský kraj	760	49.3140°S 20.3044°V	10,81	185	17,11	059 78 	559938	KK	+421-52	
Malá Hradná	Trenčiansky kraj	290	48.756667°S 18.166111°V	7,91	370	46,78	956 54 	505072	BN	+421-38	
Malá Ida	Košický kraj	306	48.683333°S 21.166667°V	10,19	1 452	142,49	044 20	521655	KS	+421-55	
Malá Lehota	Banskobystrický kraj	625 819	48.4990°S 18.5689°V	22,84	904	39,58	966 42	517062	ZC	+421-45	
Malá Lodina	Košický kraj	315	48.8771°S 21.1338°V	38,34	180	4,69	044 81 	521663	KS	+421-55	
Malá Mača	Trnavský kraj	121	48.222500°S 17.640000°V	7,97	595	74,65	925 21 	582638	GA	+421-31	
Malá nad Hronom	Nitriansky kraj	118	47.855000°S 18.677778°V	7,72	386	50	943 65 	503347	NZ	+421-36	
Malá Poľana	Prešovský kraj	327	49.2811°S 21.8251°V	10,95	113	10,32	090 24 	527530	SP	+421-54	
Malá Tŕňa	Košický kraj	167	48.455164°S 21.682042°V	9,81	429	43,73	076 82 	513792	TV	+421-56	
Malacky	Bratislavský kraj	159	48.435833°S 17.017778°V	27,17	17 087	628,89	901 01	508063	MA	+421-34	
Malachov	Banskobystrický kraj	505	48.710000°S 19.090000°V	6,27	1 070	170,65	974 05 	580244	BB	+421-48	
Málaš	Nitriansky kraj	158	48.0504°S 18.5248°V	15,98	482	30,16	935 67	502511	LV	+421-36	
Malatiná	Žilinský kraj	803	49.1867°S 19.4313°V	19,14	821	42,89	026 01 	509825	DK	+421-43	
Malatíny	Žilinský kraj	553	49.0588°S 19.4544°V	4,18	194	46,41	032 15 	510831	LM	+421-44	
Malcov	Prešovský kraj	410	49.308333°S 21.071667°V	18,88	1 551	82,15	086 06	519570	BJ	+421-54	
Malčice	Košický kraj	120	48.5765°S 21.8530°V	22,66	1 496	66,02	072 06	522759	MI	+421-56	
Malé Borové	Žilinský kraj	904	49.2273°S 19.5328°V	5,83	145	24,87	027 32 	510840	LM	+421-44	
Malé Dvorníky	Trnavský kraj	115	48.011111°S 17.643056°V	6,89	1 090	158,2	929 01 	555665	DS	+421-31	
Malé Chyndice	Nitriansky kraj	188	48.303881°S 18.280056°V	7,89	385	48,8	951 54	556785	NR	+421-37	
Malé Hoste	Trenčiansky kraj	276	48.697222°S 18.137500°V	6,81	426	62,56	956 37 	505102	BN	+421-38	
Malé Kosihy	Nitriansky kraj	110	47.923333°S 18.750000°V	8,43	395	46,86	943 61 	503355	NZ	+421-36	
Malé Kozmálovce	Nitriansky kraj	175	48.2723°S 18.5118°V	9,22	381	41,32	935 21 	581135	LV	+421-36	
Malé Kršteňany	Trenčiansky kraj	207	48.6388°S 18.4255°V	6,29	550	87,44	958 03 	505129	PE	+421-38	
Malé Lednice	Trenčiansky kraj	430	49.068611°S 18.572222°V	15,11	511	33,82	018 16 	557579	PB	+421-42	
Malé Leváre	Bratislavský kraj	153	48.502150°S 16.970397°V	21,41	1 150	53,71	908 74	504556	MA	+421-34	
Malé Ludince	Nitriansky kraj	132	47.9862°S 18.6968°V	6,8	176	25,88	937 01 	502537	LV	+421-36	
Malé Ozorovce	Košický kraj	197	48.680665°S 21.611424°V	17,08	536	31,38	078 01 	528536	TV	+421-56	
Malé Raškovce	Košický kraj	102	48.5786°S 21.9177°V	8,75	249	28,46	072 17 	522767	MI	+421-56	
Malé Ripňany	Nitriansky kraj	174	48.4783°S 17.9826°V	8,52	551	64,67	956 07 	505137	TO	+421-38	
Malé Straciny	Banskobystrický kraj	200	48.2082°S 19.4153°V	6,84	134	19,59	990 01 	558206	VK	+421-47	
Malé Trakany	Košický kraj	105	48.4010°S 22.1014°V	11,02	1 110	100,73	076 42 	528544	TV	+421-56	
Malé Uherce	Trenčiansky kraj	211	48.6213°S 18.4027°V	5,97	703	117,76	958 03 	580953	PE	+421-38	
Malé Vozokany	Nitriansky kraj	176	48.3095°S 18.3978°V	5,86	281	47,95	951 82	555924	ZM	+421-37	
Malé Zálužie	Nitriansky kraj	159	48.4360°S 17.9863°V	5,91	281	47,55	951 24 	500534	NR	+421-37	
Malé Zlievce	Banskobystrický kraj	166 – 267	48.1803°S 19.4473°V	9,05	269	29,72	991 22 	516198	VK	+421-47	
Málinec	Banskobystrický kraj	298	48.500000°S 19.666667°V	50	1 524	30,48	985 26	511595	PT	+421-47	
Malinová	Trenčiansky kraj	342	48.8537°S 18.6168°V	13,09	900	68,75	972 13 	514187	PD	+421-46	
Malinovo	Bratislavský kraj	128	48.1577°S 17.2990°V	8,7	2 258	259,54	900 45	508071	SC	+421-2	
Malužiná	Žilinský kraj	733	48.979722°S 19.770556°V	39,48	268	6,79	032 34	510858	LM	+421-44	
Malý Cetín	Nitriansky kraj	131	48.236865°S 18.176209°V	5,16	389	75,39	951 07 	555908	NR	+421-37	
Malý Čepčín	Žilinský kraj	465	48.9028°S 18.8402°V	3,09	520	168,28	038 45	512443	TR	+421-43	
Malý Horeš	Košický kraj	99	48.3958°S 21.9524°V	19,21	1 104	57,47	076 52 	528552	TV	+421-56	
Malý Kamenec	Košický kraj	98	48.3518°S 21.7896°V	5,64	442	78,37	076 36 	528561	TV	+421-56	
Malý Krtíš	Banskobystrický kraj	180	48.1897°S 19.3536°V	5,4	533	98,7	990 01 	558192	VK	+421-47	
Malý Lapáš	Nitriansky kraj	176	48.3013°S 18.1810°V	3,22	662	205,59	951 04 	555851	NR	+421-37	
Malý Lipník	Prešovský kraj	450	49.3280°S 20.7902°V	13,77	456	33,12	065 46	526886	SL	+421-52	
Malý Slavkov	Prešovský kraj	666	49.1362°S 20.3890°V	4,99	987	197,8	060 01 	581241	---	+421-52	
Malý Slivník	Prešovský kraj	385	49.1183°S 21.2590°V	2,61	856	327,97	082 67 	524832	PO	+421-51	
Malý Šariš	Prešovský kraj	295	49.0076°S 21.1787°V	8,64	1 563	180,9	080 01	524841	PO	+421-51	
Malženice	Trnavský kraj	163	48.450000°S 17.675000°V	14,85	1 414	95,22	919 29	507318	TT	+421-33	
Mankovce	Nitriansky kraj	230	48.4261°S 18.3261°V	4,24	533	125,71	951 92 	500542	ZM	+421-37	
Maňa	Nitriansky kraj	133	48.150000°S 18.283333°V	21,59	2 077	96,2	941 45	503363	NZ	+421-356595	
Marcelová	Nitriansky kraj	112	47.7901°S 18.2899°V	35,75	3 739	104,59	946 32	501239	KN	+421-35	
Margecany	Košický kraj	330	48.8915°S 21.0125°V	17,63	1 963	111,34	055 01	543322	GL	+421-53	
Marhaň	Prešovský kraj	195	49.1689°S 21.4497°V	10,4	963	92,6	086 45	519588	BJ	+421-54	
Marianka	Bratislavský kraj	220	48.248056°S 17.060000°V	3,22	1 579	490,37	900 33	508080	MA	+421-2	
Markovce	Košický kraj	101	48.5933°S 21.8465°V	8,02	927	115,59	072 06 	522783	MI	+421-56	
Markuška	Košický kraj	381	48.729910°S 20.324110°V	6,81	169	24,82	049 34	525952	RV	+421-58	
Markušovce	Košický kraj	435	48.9158°S 20.6233°V	18,51	4 147	224,04	053 21	543331	SN	+421-53	
Maršová-Rašov	Žilinský kraj	310	49.1807°S 18.5138°V	9,61	831	86,47	013 51 	517798	BY	+421-41	
Martin	Žilinský kraj	394	49.066733°S 18.922450°V	67,74	56 526	834,46	036 01	512036	MT	+421-43	
Martin nad Žitavou	Nitriansky kraj	196	48.3972°S 18.3550°V	4,33	520	120,09	953 01 	500551	ZM	037 / Zlaté Moravce /	
Martinček	Žilinský kraj	598	49.0918°S 19.3362°V	2,48	385	155,24	034 95 	510866	RK	+421-44	
Martinová	Banskobystrický kraj	180	48.2991°S 20.1709°V	3,78	213	56,35	980 41 	515183	RS	+421-47	
Martovce	Nitriansky kraj	112	47.8567°S 18.1281°V	19,96	699	35,02	947 01 	501247	KN	+421-35	
Mašková	Banskobystrický kraj	209	48.3336°S 19.5636°V	9,13	331	36,25	985 11 	511609	LC	+421-47	
Maškovce	Prešovský kraj	253	49.013889°S 21.995556°V	6,99	53	7,58	067 32 	559652	HE	+421-57	
Matejovce nad Hornádom	Košický kraj	425	48.9166°S 20.6704°V	3,62	522	144,2	053 21 	543349	SN	+421-53	
Matiaška	Prešovský kraj	220	49.0619°S 21.5819°V	12,29	272	22,13	094 31 	528854	VT	+421-57	
Matiašovce	Prešovský kraj	556	49.3538°S 20.3623°V	17,5	799	45,66	059 04 	523712	KK	4 82	
Matovce	Prešovský kraj	196	49.1392°S 21.5453°V	3,99	124	31,08	090 42 	527548	SK	+421-54	
Matúškovo	Trnavský kraj	118	48.167778°S 17.732778°V	11,95	2 056	172,05	925 01	555754	GA	+421-31	
Matysová	Prešovský kraj	600	49.3193°S 20.7516°V	10,43	74	7,09	065 46 	526894	SL	+421-52	
Maťovské Vojkovce	Košický kraj	106	48.5741°S 22.1278°V	12,29	603	49,06	079 01 	528579	MI	+421-56	
Medovarce	Banskobystrický kraj	180	48.2326°S 19.0010°V	13,24	244	18,43	962 65 	518646	KA	+421-45	
Medvedie	Prešovský kraj	365	49.3991°S 21.6402°V	5,05	48	9,5	090 05 	527556	SK	+421-54	
Medveďov	Trnavský kraj	112	47.798333°S 17.664167°V	10,39	546	52,55	930 07	501760	DS	+421-31	
Medzany	Prešovský kraj	320	49.0446°S 21.1513°V	7,07	778	110,04	082 21 	556823	PO	+421-51	
Medzev	Košický kraj	318	48.700000°S 20.891667°V	31,86	4 337	136,13	044 25	521671	KS	+421-55	
Medzianky	Prešovský kraj	240	49.033056°S 21.466667°V	4,93	292	59,23	094 31 	528862	VT	+421-57	
Medzibrod	Banskobystrický kraj	419	48.794444°S 19.358056°V	17,08	1 341	78,51	976 96	508764	BB	+421-48	
Medzibrodie nad Oravou	Žilinský kraj	514	49.2339°S 19.3436°V	6,58	500	75,99	026 01 	509833	DK	+421-43	
Medzilaborce	Prešovský kraj	326	49.270833°S 21.903889°V	47,48	6 730	141,74	068 01	520471	ML	+421-57	
Melčice-Lieskové	Trenčiansky kraj	202	48.8452°S 17.9177°V	21,58	1 583	73,35	913 05	545686	TN	+421-32	
Melek	Nitriansky kraj	165	48.2025°S 18.3270°V	6,2	452	72,9	952 01 	500569	NR	+421-37	
Meliata	Košický kraj	201	48.515000°S 20.330000°V	14,49	206	14,22	049 12 	525961	RV	+421-58	
Mengusovce	Prešovský kraj	825	49.066667°S 20.133333°V	8,94	659	73,71	059 36	523721	PP	+421-52	
Merašice	Trnavský kraj	189	48.461944°S 17.947500°V	4,94	434	87,85	920 61 	507326	HC	+421-33	
Merník	Prešovský kraj	165	48.946961°S 21.642833°V	11,59	604	52,11	094 23	528871	VT	+421-57	
Mestečko	Trenčiansky kraj	321	49.1760°S 18.2588°V	5,42	529	97,6	020 52	513377	PU	+421-42	
Mestisko	Prešovský kraj	242	49.263611°S 21.582500°V	11,06	472	42,68	090 41	527564	SK	+421-54	
Mičakovce	Prešovský kraj	179	49.0919°S 21.5201°V	4,71	148	31,42	087 01 	519596	SK	+421-54	
Mierovo	Trnavský kraj	124	48.068889°S 17.387500°V	6,19	455	73,51	930 41 	501778	DS	+421-31	
Miezgovce	Trenčiansky kraj	240	48.720556°S 18.314167°V	8,75	271	30,97	957 01 	505153	BN	+421-38	
Michajlov	Prešovský kraj	250	48.910000°S 22.347222°V	4,67	98	20,99	067 73 	520489	SV	+421-57	
Michal na Ostrove	Trnavský kraj	118	48.023889°S 17.511944°V	10,65	925	86,85	930 35	501786	DS	+421-31	
Michal nad Žitavou	Nitriansky kraj	135	48.183333°S 18.283333°V	8,19	667	81,44	941 62 	503371	NZ	+421-35	
Michalková	Banskobystrický kraj	700	48.5092°S 19.1578°V	5,42	38	7,01	962 61 	518654	ZV	+421-45	
Michalok	Prešovský kraj	256	48.9908°S 21.6326°V	12,32	306	24,84	094 23 	528889	VT	+421-57	
Michalová	Banskobystrický kraj	590	48.7625°S 19.7797°V	14,33	1 378	96,16	976 57	508772	BR	+421-48	
Michalovce	Košický kraj	114	48.749167°S 21.901389°V	52,81	39 719	752,11	071 01	522279	MI	+421-56	
Michaľany	Košický kraj	192	48.5138°S 21.6213°V	8,15	1 944	238,53	076 14	528587	TV	+421-56	
Miklušovce	Prešovský kraj	481	48.9168°S 21.0816°V	7,22	323	44,74	082 44 	524867	PO	+421-51	
Miková	Prešovský kraj	415	49.300000°S 21.833333°V	12,72	151	11,87	090 24	527572	SP	+421-54	
Mikulášová	Prešovský kraj	350	49.3838°S 21.3903°V	8	133	16,63	086 36 	519600	BJ	+421-54	
Mikušovce	Trenčiansky kraj	308	49.050000°S 18.200000°V	8,5	1 035	121,76	018 57	513385	IL	+421-42	
Mikušovce	Banskobystrický kraj	186	48.300606°S 19.683894°V	4,99	282	56,51	984 01 	580309	LC	+421-47	
Milhosť	Košický kraj	166	48.533333°S 21.266667°V	7,84	382	48,72	044 58 	580252	KS	+421-55	
Miloslavov	Bratislavský kraj	127	48.100000°S 17.300000°V	10,19	2 054	201,57	900 42 	508098	SC	+421-2	
Milpoš	Prešovský kraj	510	49.1808°S 21.0037°V	11,08	692	62,45	082 71 	524875	SB	+421	
Miňovce	Prešovský kraj	168	49.1349°S 21.6513°V	6	340	56,67	090 32	527581	SP	+421-54	
Mirkovce	Prešovský kraj	320	48.8884°S 21.3263°V	9,55	1 248	130,68	082 06 	524883	PO	+421-51	
Miroľa	Prešovský kraj	382	49.3293°S 21.7320°V	6,11	67	10,97	090 05 	527599	SK	+421-54	
Mládzovo	Banskobystrický kraj	235	48.437494°S 19.704933°V	7,98	105	13,16	985 02 	511617	PT	+421-47	
Mlynárovce	Prešovský kraj	296	49.2516°S 21.5302°V	11,22	215	19,16	090 16 	527602	SK	+421-54	
Mlynčeky	Prešovský kraj	687	49.1688°S 20.3848°V	7,68	663	86,33	059 76	523739	KK	+421-52	
Mlynica	Prešovský kraj	688	49.1008°S 20.3125°V	7,78	450	57,84	059 91 	523747	PP	+421-52	
Mlynky	Košický kraj	739	48.8526°S 20.4306°V	25,05	563	22,48	053 76	543357	SN	+421-53	
Mníchova Lehota	Trenčiansky kraj	255	48.8340°S 18.0619°V	16,62	1 244	74,85	913 21 	506231	TN	+421-32	
Mníšek nad Hnilcom	Košický kraj	431	48.8042°S 20.8047°V	39,44	1 734	43,97	055 64	543365	GL	+421-53	
Mníšek nad Popradom	Prešovský kraj	350 (+/- 20 m)	49.4146°S 20.7169°V	17,79	654	36,76	065 22	526908	SL	+421-52	
Moča	Nitriansky kraj	110	47.760000°S 18.405833°V	17,87	1 141	63,85	946 37	501255	KN	+421-35	
Močenok	Nitriansky kraj	130	48.230819°S 17.930803°V	46,39	4 300	92,69	951 31	500739	SA	+421-37	
Močiar	Banskobystrický kraj	620	48.5414°S 18.9454°V	20,92	168	8,03	969 82 	517071	BS	+421-45	
Modra	Bratislavský kraj	175	48.331667°S 17.308889°V	49,62	8 785	177,05	900 01	508101	PK	+421-33	
Modra nad Cirochou	Prešovský kraj	207	48.9417°S 22.0456°V	7,3	1 010	138,36	067 82 	520497	HE	+421-57	
Modrany	Nitriansky kraj	274	47.833333°S 18.350000°V	27,07	1 408	52,01	946 33	501263	KN	+421-35	
Modrová	Trenčiansky kraj	204	48.640194°S 17.899083°V	11,67	518	44,39	916 35	506249	NM	+421-33	
Modrovka	Trenčiansky kraj	173	48.648611°S 17.881944°V	3,16	208	65,82	916 35 	506257	NM	+421-33	
Modrý Kameň	Banskobystrický kraj	240	48.240833°S 19.333056°V	19,64	1 594	81,16	992 01	516210	VK	+421-47	
Mojmírovce	Nitriansky kraj	140	48.206944°S 18.063889°V	19,86	2 869	144,46	951 15	500577	NR	+421-37	
Mojš	Žilinský kraj	345	49.199444°S 18.820833°V	2,59	878	339	010 01 	517801	ZA	+421-41	
Mojtín	Trenčiansky kraj	636	48.9848°S 18.4059°V	10,84	477	44	020 72	513407	PU	+421-42	
Mojzesovo	Nitriansky kraj	130	48.116667°S 18.233333°V	7,49	1 325	176,9	941 04	503398	NZ	+421-35	
Mokrá Lúka	Banskobystrický kraj	295	48.6736°S 20.1491°V	15,21	518	34,06	050 01 	580384	RA	+421-58	
Mokrance	Košický kraj	212	48.5975°S 21.0203°V	23,41	1 370	58,52	045 01 	521680	KS	+421-55	
Mokroluh	Prešovský kraj	324	49.3080°S 21.2147°V	7,95	740	93,08	086 01 	519618	BJ	+421-54	
Mokrý Háj	Trnavský kraj	246	48.8118°S 17.2454°V	6,87	709	103,2	908 65	504564	SI	+421-34	
Moldava nad Bodvou	Košický kraj	216	48.606389°S 21.000278°V	19,77	11 186	565,81	045 01	521698	KS	+421-55	
Moravany	Košický kraj	Stred obce leží v nadmorskej víške 110m,	48.7389°S 21.7859°V	16,67	1 039	62,33	072 03 	522791	MI	+421-56	
Moravany nad Váhom	Trnavský kraj	175	48.602778°S 17.863889°V	10,79	2 322	215,2	922 21	507342	PN	+421-33	
Moravské Lieskové	Trenčiansky kraj	301	48.827244°S 17.801219°V	36,42	2 524	69,3	916 42	506265	NM	+421-327792	
Moravský Svätý Ján	Trnavský kraj	152	48.583333°S 16.994444°V	39,22	2 141	54,59	908 71	504572	SE	+421-34	
